SiteID;SiteName;SiteCode;FullSiteCode;Elevation;State;County;Comments;Elevation_dem;Longitude;Latitude;codice
372;Faedis campo sportivo;N306;OD:N306;NA;NA;FVG;NA;195.832443237305;13.3451;46.1482;NA
373;Torreano;N309;OD:N309;NA;NA;FVG;NA;182.729095458984;13.43;46.1255;NA
374;Selvis;N310;OD:N310;NA;NA;FVG;NA;98.008415222168;13.3339;46.0693;NA
375;Cerneglons;N311;OD:N311;NA;NA;FVG;Serie HisCentral +Regione FVG;91.3938293457031;13.3181;46.0558;PRD
376;Attimis ponte ss 365;N312;OD:N312;NA;NA;FVG;NA;226.228637695313;13.3058;46.1883;NA
377;Orzano;N313;OD:N313;NA;NA;FVG;NA;100.033378601074;13.358;46.0617;NA
378;Platischis;N400;OD:N400;NA;NA;FVG;NA;717.424865722656;13.3806;46.243;NA
379;Stupizza;N401;OD:N401;NA;NA;FVG;NA;333.769195556641;13.4711;46.2004;NA
380;Linder;N402;OD:N402;NA;NA;FVG;NA;342.884918212891;13.4773;46.1814;NA
381;Pulfero;N404;OD:N404;NA;NA;FVG;NA;264.140411376953;13.4831;46.1733;NA
382;Montemaggiore;N405;OD:N405;NA;NA;FVG;NA;807.527038574219;13.5329;46.1945;NA
383;San volfango;N406;OD:N406;NA;NA;FVG;NA;660.892944335938;13.6427;46.165;NA
384;Drenchia;N407;OD:N407;NA;NA;FVG;NA;626.707153320313;13.6223;46.1752;NA
385;Clodig;N408;OD:N408;NA;NA;FVG;NA;396.930969238281;13.5924;46.1557;NA
386;Azzida;N410;OD:N410;NA;NA;FVG;Serie HisCentral +Regione FVG;176.237686157227;13.4947;46.1183;SPN
387;Tribil inferiore;N416;OD:N416;NA;NA;FVG;NA;573.941589355469;13.5853;46.1193;NA
388;Malghe mersino;N417;OD:N417;NA;NA;FVG;NA;1343.13757324219;13.5243;46.2122;NA
389;Cividale istituto agrario;N450;OD:N450;NA;NA;FVG;Serie HisCentral +Regione FVG;132.303237915039;13.4182;46.0967;CIV
390;Cividale ponte del diavolo;N451;OD:N451;NA;NA;FVG;NA;132.687561035156;13.4301;46.0913;NA
391;Manzano ponte case;N452;OD:N452;NA;NA;FVG;NA;65.6321258544922;13.391;45.9918;NA
392;Manzano;N454;OD:N454;NA;NA;FVG;NA;75.5615158081055;13.3819;45.9973;NA
393;Albana;N601;OD:N601;NA;NA;FVG;NA;134.721221923828;13.4898;46.0483;NA
394;Brazzano;N602;OD:N602;NA;NA;FVG;NA;70.7309036254883;13.4534;45.9768;NA
395;Cormons;N603;OD:N603;NA;NA;FVG;Serie HisCentral +Regione FVG;79.207275390625;13.4693;45.96;CAP
396;Versa ponte ss 252;N604;OD:N604;NA;NA;FVG;NA;22.4820156097412;13.4219;45.898;NA
397;Giasbana;N605;OD:N605;NA;NA;FVG;NA;154.222915649414;13.5748;45.9678;NA
398;Capriva localita' la baita;N606;OD:N606;NA;NA;FVG;NA;53.2937164306641;13.5122;45.9468;NA
399;Ruzzis;N607;OD:N607;NA;NA;FVG;NA;62.0717391967773;13.5196;45.9538;NA
400;La baita ponte;N608;OD:N608;NA;NA;FVG;NA;53.2937164306641;13.5111;45.9467;NA
401;Fratta;N609;OD:N609;NA;NA;FVG;NA;23.6208992004395;13.4372;45.909;NA
402;Mariano del friuli;N610;OD:N610;NA;NA;FVG;NA;31.0092029571533;13.4561;45.9211;NA
403;Versa;N611;OD:N611;NA;NA;FVG;NA;23.1354579925537;13.4077;45.8948;NA
