yy;mm;dd;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
1991;2;26;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;0
1991;2;27;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;0
1991;2;28;NA;NA;NA;NA;NA;NA;2.2;NA;0;NA;NA;NA;NA;NA;NA;NA;0.6;0.8;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2;NA;NA;NA;NA;NA;NA;0.8;NA;NA;1;NA;NA;NA;NA;NA;2;0.6
1991;3;1;NA;NA;NA;NA;NA;NA;0.2;NA;0;NA;NA;NA;NA;NA;NA;NA;1.2;0.6;NA;0.2;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;0
1991;3;2;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.6;0.6;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;2.8;NA;NA;0;NA;NA;NA;NA;NA;0.2;0
1991;3;3;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0.2;0
1991;3;4;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;0
1991;3;5;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;0
1991;3;6;NA;NA;NA;NA;NA;NA;0.4;NA;6.4;NA;NA;NA;NA;NA;NA;NA;4.6;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6;NA;NA;NA;NA;NA;NA;0.6;NA;NA;2.2;NA;NA;NA;NA;NA;3.4;0.6
1991;3;7;NA;NA;NA;NA;NA;NA;2.8;NA;0.4;NA;NA;NA;NA;NA;NA;NA;9.4;9.4;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;2.2;NA;NA;1;NA;NA;NA;NA;NA;8.6;7.4
